# penetration_um max_slip
1.333333e-01 1.973756e-208
2.666667e-01 2.620843e-172
4.000000e-01 3.539486e-151
5.333333e-01 3.476455e-136
6.666667e-01 1.478721e-124
8.000000e-01 4.690116e-115
9.333333e-01 5.062281e-107
1.066667e+00 4.601800e-100
1.200000e+00 6.320893e-94
1.333333e+00 1.955357e-88
1.466667e+00 1.810920e-83
1.600000e+00 6.195584e-79
1.733333e+00 9.185422e-75
1.866667e+00 6.680963e-71
2.000000e+00 2.630413e-67
