# step penetration_um force vm_avg vm_max vm_min vm_std vm_contact_avg vm_contact_max nb_contact_cells
4.000000e+01 4.000000e+00 5.746479e+02 4.881602e-02 3.525964e+01 6.295109e-05 5.692921e-01 3.525959e+01 3.525964e+01 4.000000e+00
4.100000e+01 4.100000e+00 5.889984e+02 5.003541e-02 3.614033e+01 6.452299e-05 5.835125e-01 3.614028e+01 3.614033e+01 4.000000e+00
4.200000e+01 4.200000e+00 6.033481e+02 5.125476e-02 3.702099e+01 6.609481e-05 5.977324e-01 3.702094e+01 3.702099e+01 4.000000e+00
4.300000e+01 4.300000e+00 6.176970e+02 5.247405e-02 3.790160e+01 6.766654e-05 6.119517e-01 3.790155e+01 3.790160e+01 4.000000e+00
4.400000e+01 4.400000e+00 6.320452e+02 5.369330e-02 3.878218e+01 6.923818e-05 6.261705e-01 3.878213e+01 3.878218e+01 4.000000e+00
4.500000e+01 4.500000e+00 6.463926e+02 5.491249e-02 3.966272e+01 7.080972e-05 6.403886e-01 3.966267e+01 3.966272e+01 4.000000e+00
4.600000e+01 4.600000e+00 6.607392e+02 5.613164e-02 4.054322e+01 7.238118e-05 6.546062e-01 4.054317e+01 4.054322e+01 4.000000e+00
4.700000e+01 4.700000e+00 6.750851e+02 5.735074e-02 4.142368e+01 7.395254e-05 6.688232e-01 4.142363e+01 4.142368e+01 4.000000e+00
4.800000e+01 4.800000e+00 6.894302e+02 5.856979e-02 4.230411e+01 7.552381e-05 6.830396e-01 4.230405e+01 4.230411e+01 4.000000e+00
4.900000e+01 4.900000e+00 7.037745e+02 5.978879e-02 4.318449e+01 7.709499e-05 6.972555e-01 4.318444e+01 4.318449e+01 4.000000e+00
5.000000e+01 5.000000e+00 7.181181e+02 6.100774e-02 4.406484e+01 7.866608e-05 7.114707e-01 4.406478e+01 4.406484e+01 4.000000e+00
5.100000e+01 5.100000e+00 7.324609e+02 6.222664e-02 4.494514e+01 8.023708e-05 7.256854e-01 4.494509e+01 4.494514e+01 4.000000e+00
5.200000e+01 5.200000e+00 7.468029e+02 6.344549e-02 4.582541e+01 8.180799e-05 7.398996e-01 4.582535e+01 4.582541e+01 4.000000e+00
5.300000e+01 5.300000e+00 7.611442e+02 6.466429e-02 4.670564e+01 8.337880e-05 7.541131e-01 4.670558e+01 4.670564e+01 4.000000e+00
5.400000e+01 5.400000e+00 7.754847e+02 6.588305e-02 4.758583e+01 8.494953e-05 7.683261e-01 4.758577e+01 4.758583e+01 4.000000e+00
5.500000e+01 5.500000e+00 7.898244e+02 6.710175e-02 4.846598e+01 8.652016e-05 7.825385e-01 4.846592e+01 4.846598e+01 4.000000e+00
5.600000e+01 5.600000e+00 8.041634e+02 6.832041e-02 4.934610e+01 8.809070e-05 7.967503e-01 4.934603e+01 4.934610e+01 4.000000e+00
5.700000e+01 5.700000e+00 8.185016e+02 6.953902e-02 5.022617e+01 8.966116e-05 8.109615e-01 5.022611e+01 5.022617e+01 4.000000e+00
5.800000e+01 5.800000e+00 8.328390e+02 7.075758e-02 5.110621e+01 9.123152e-05 8.251722e-01 5.110614e+01 5.110621e+01 4.000000e+00
5.900000e+01 5.900000e+00 8.471757e+02 7.197609e-02 5.198620e+01 9.280179e-05 8.393823e-01 5.198614e+01 5.198620e+01 4.000000e+00
6.000000e+01 6.000000e+00 8.615116e+02 7.319454e-02 5.286616e+01 9.437197e-05 8.535918e-01 5.286609e+01 5.286616e+01 4.000000e+00
6.100000e+01 6.100000e+00 8.758466e+02 7.441294e-02 5.374608e+01 9.594204e-05 8.678006e-01 5.374601e+01 5.374608e+01 4.000000e+00
6.200000e+01 6.200000e+00 8.901798e+02 7.563121e-02 5.462598e+01 9.751191e-05 8.820081e-01 5.462584e+01 5.462598e+01 4.000000e+00
6.300000e+01 6.300000e+00 9.045059e+02 7.684891e-02 5.550592e+01 9.908063e-05 8.962098e-01 5.550534e+01 5.550592e+01 4.000000e+00
6.400000e+01 6.400000e+00 9.187931e+02 7.806343e-02 5.638634e+01 1.006428e-04 9.103801e-01 5.638310e+01 5.638634e+01 4.000000e+00
6.500000e+01 6.500000e+00 9.329197e+02 7.926480e-02 5.726887e+01 1.021783e-04 9.244206e-01 5.725365e+01 5.726887e+01 4.000000e+00
6.600000e+01 6.600000e+00 9.467275e+02 8.044005e-02 5.815548e+01 1.036608e-04 9.382037e-01 5.810991e+01 5.815548e+01 4.000000e+00
6.700000e+01 6.700000e+00 9.602448e+02 8.159157e-02 5.904467e+01 1.050955e-04 9.517534e-01 5.895315e+01 5.904467e+01 4.000000e+00
6.800000e+01 6.800000e+00 9.735758e+02 8.272820e-02 5.992863e+01 1.065021e-04 9.651539e-01 5.978789e+01 5.992863e+01 4.000000e+00
6.900000e+01 6.900000e+00 9.866917e+02 8.384869e-02 6.081403e+01 1.078854e-04 9.783788e-01 6.061220e+01 6.081403e+01 4.000000e+00
